Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
DNAdamageoutput_1Nov.root,N/A,N/A,22,2.700000000000001e-20,301220.0,/user/home/ms23570/work/DaRT_RBE/DNA_damage/geometryFiles/sugarPos_n2_300nm_H75nm_R11nm_33hist_50deg.bin,M,M
EventNum,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
13390,1.6453330717805623,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13838,300.46130550049463,N/A,N/A,3, 1, 0, 1, 9, 7, 1, 0, 12, 6, 2, 1
13981,0.0811044928800318,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14589,0.20413285180559904,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16062,0.7807581324214294,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16063,0.06711339900199997,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16650,0.17664889644250112,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17151,0.22453115225792583,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17152,0.015097425783704757,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17286,1.1513831744111285e-05,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17677,0.33813906725384846,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17980,0.11281284620873809,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17981,0.12725042499764908,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18179,0.1975866509389052,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18845,0.3776693228038202,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18846,0.12780304382781552,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19048,0.01043209265174345,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19049,0.5840451235685689,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20239,0.15840345019687285,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21996,0.4678377710812231,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21997,0.10407547371037727,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22396,0.03428376296889957,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22397,0.11703596903686149,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22986,5.233684597232832e-05,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24199,1.3081449919508037,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24464,0.013973140120320847,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24465,0.2209499861300763,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24466,0.07824681070333774,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24584,0.1279743106962028,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24585,0.10294125284472987,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24771,0.5398041550261581,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24772,0.12123625212024053,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25159,0.12255233892999533,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25797,21.534054478748054,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25798,211.50116273955493,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26008,0.09757594928377146,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26304,0.2552228469294131,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26350,0.45529971314042633,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27171,0.08604936468914852,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27172,0.10469940208980737,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27978,0.15721411465404656,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28061,1.00360905055796,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29862,138.2331298980934,N/A,N/A,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
29863,78.76175960554872,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31052,2.1189136316002912e-05,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31053,0.7852307775146035,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31378,334.33478284471124,N/A,N/A,4, 0, 1, 1, 5, 5, 0, 0, 9, 4, 1, 1
31379,9.405258785348089,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32115,0.0001004382231170178,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32116,0.17986473978110218,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32117,0.08004662243900555,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32277,0.3563066294714101,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32356,0.31155513210800245,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32357,0.23520299352860702,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34063,0.9348632073533948,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34064,8.740227646476566,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34235,0.2474922223366944,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34628,0.07679648233514394,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34629,0.9064131415560704,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34721,0.11579387134965483,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34723,0.526965072128518,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34724,1.1732111161335526,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34725,0.16132585300238658,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34726,1.3596903006344039,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34727,0.16427563616831153,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34728,0.33069950208635845,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34729,4.371684572541991,N/A,N/A,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
